Coaster_ID,Name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,Park,status
1,Afterburn,Steel,Inverted,100.0,34.00,900.00,6.0,B&M,Carowinds,status.operating
2,Alpengeist,Steel,Inverted,108.0,60.00,NULL,6.0,B&M,"Busch Gardens Williamsburg",status.operating
3,"American Thunder",Wooden,"Sit Down",77.0,25.00,827.00,0.0,GCI,"Six Flags St. Louis",status.operating
4,Apocalypse,Wooden,"Sit Down",89.0,31.00,869.00,0.0,GCI,"Six Flags Magic Mountain",status.closed.temporarily
5,"Apollo's Chariot",Steel,"Sit Down",118.0,52.00,1488.00,0.0,B&M,"Busch Gardens Williamsburg",status.operating
6,Aska,Wooden,"Sit Down",80.0,30.00,1081.00,0.0,Intamin,"Nara Dreamland",status.closed.definitely
7,Avalanche,Wooden,"Sit Down",NULL,27.00,725.00,0.0,S&S,"Timber Falls",status.closed.definitely
8,Balder,Wooden,"Sit Down",90.0,36.00,1070.00,0.0,Intamin,Liseberg,status.operating
9,Banshee,Steel,Inverted,110.0,51.00,1260.00,7.0,B&M,"Kings Island",status.operating
10,Beast,Wooden,"Sit Down",104.0,34.00,2243.00,0.0,"Charlie Dinn","Kings Island",status.operating
11,Behemoth,Steel,"Sit Down",124.0,70.00,1621.00,0.0,B&M,"Canada's Wonderland",status.operating
12,"Big Dipper",Wooden,"Sit Down",NULL,18.00,1006.00,0.0,"William Strickler","Blackpool Pleasure Beach",status.operating
13,"Big Dipper",Steel,"Sit Down",NULL,5.00,NULL,0.0,"Chance Rides","Michigan's Adventure",status.operating
14,"Big Dipper",Wooden,"Sit Down",52.0,20.00,817.00,0.0,"John Miller","Geauga Lake",status.closed.definitely
15,"Big Dipper",Steel,"Sit Down",NULL,NULL,NULL,0.0,"National Amusement Devices","Camden Park",status.operating
16,Bizarro,Steel,Floorless,98.0,43.00,1214.00,7.0,B&M,"Six Flags Great Adventure",status.operating
17,Bizarro,Steel,"Sit Down",124.0,63.00,1646.00,0.0,Intamin,"Six Flags New England",status.operating
18,"Black Mamba",Steel,Inverted,80.0,26.00,NULL,4.0,B&M,Phantasialand,status.operating
19,"Blue Fire",Steel,"Sit Down",100.0,38.00,1056.00,4.0,Mack,Europa-Park,status.operating
20,"Blue Fire Megacoaster",Steel,"Sit Down",100.0,38.00,1056.00,4.0,Mack,Europa-Park,status.operating
21,"Blue Streak",Wooden,na,NULL,NULL,883.00,0.0,na,"Conneaut Lake Park",status.operating
22,"Blue Streak",Wooden,"Sit Down",64.0,24.00,780.00,0.0,"Philadelphia Toboggan Coaster","Cedar Point",status.operating
23,"Boardwalk Bullet",Wooden,"Sit Down",82.0,29.00,986.00,0.0,"Gravity Group","Kemah Boardwalk",status.operating
24,Boss,Wooden,"Sit Down",106.0,46.00,1540.00,0.0,CCI,"Six Flags St. Louis",status.operating
25,"Boulder Dash",Wooden,"Sit Down",97.0,35.00,1440.00,0.0,CCI,"Lake Compounce",status.operating
26,Candymonium,Steel,"Sit Down",122.0,64.00,1413.00,0.0,B&M,Hersheypark,status.operating
27,Cannibal,Steel,"Sit Down",113.0,64.00,835.00,4.0,"ART Engineering",Lagoon,status.operating
28,Coaster,Wooden,"Sit Down",75.0,20.00,865.00,0.0,na,"PNE Playland",status.operating
29,Colossos,Wooden,"Sit Down",110.0,51.00,1500.00,0.0,Intamin,"Heide Park",status.operating
30,Comet,Wooden,"Sit Down",40.0,11.00,396.00,0.0,"Philadelphia Toboggan Coaster",Waldameer,status.operating
31,Comet,Steel,"Sit Down",89.0,29.00,1279.00,0.0,"Philadelphia Toboggan Coaster","Crystal Beach",status.closed.definitely
32,Comet,Steel,"Sit Down",NULL,NULL,NULL,0.0,"Wisdom Rides","Sir Gooney's Family Fun Center",status.operating
33,Comet,Steel,"Sit Down",NULL,NULL,NULL,0.0,"Wisdom Rides","Planet Fun",status.closed.definitely
34,Comet,Steel,"Sit Down",81.0,26.00,1024.00,0.0,"Philadelphia Toboggan Coaster",Hersheypark,status.operating
35,Comet,Wooden,"Sit Down",89.0,29.00,1279.00,0.0,"Philadelphia Toboggan Coaster","Six Flags Great Escape",status.operating
36,Comet,Steel,"Sit Down",64.0,24.00,NULL,3.0,Vekoma,"Walygator Parc",status.operating
37,"Cornball Express",Wooden,"Sit Down",72.0,17.00,640.00,0.0,CCI,"Indiana Beach",status.operating
38,Cyclone,Wooden,"Sit Down",NULL,25.00,855.00,0.0,na,"Lakeside Park",status.operating
39,Cyclone,Wooden,"Sit Down",NULL,29.00,914.00,0.0,"Harry G Traver","Crystal Beach",status.closed.definitely
40,Cyclone,Wooden,"Sit Down",97.0,26.00,869.00,0.0,na,"Coney Island",status.operating
41,Cyclone,Steel,"Sit Down",65.0,18.00,822.00,0.0,Togo,Toshimaen,status.operating
42,Cyclone,Steel,"Sit Down",NULL,NULL,NULL,0.0,SBF,"Barry Island Pleasure Park",status.operating
43,Cyclone,Steel,"Sit Down",68.0,18.00,762.00,0.0,"Charles Paige","Southport Pleasureland",status.closed.definitely
44,Cyclone,Steel,"Sit Down",46.0,NULL,NULL,0.0,Pinfari,"Genting Theme Park",status.closed.definitely
45,Cyclone,Steel,"Sit Down",NULL,NULL,NULL,0.0,"Carl Miler","Wonderland Amusement Park",status.operating
46,Cyclone,Wooden,"Sit Down",72.0,32.00,1100.00,0.0,"William J. Cobb","Six Flags New England",status.retracked
47,Cyclone,Steel,"Sit Down",NULL,NULL,NULL,0.0,na,"Grove Land",status.closed.definitely
48,Cyclone,Steel,"Sit Down",NULL,NULL,NULL,0.0,Pinfari,"Blackpool Pleasure Beach",status.closed.definitely
