Park_ID,Park,City,State,Country,Zip_Code
1,"Cedar Point",Sandusky,Ohio,"United States",44870
2,"Kings Island",Mason,Ohio,"United States",45040
3,"Holiday World","Santa Claus",Indiana,"United States",47579
4,"Six Flags Great Adventure",Jackson,"New Jersey","United States",08527
5,"Knoebels Amusement Resort",Elysburg,Pennsylvania,"United States",17824
6,"Busch Gardens Williamsburg",Williamsburg,Virginia,"United States",23185
7,Kennywood,"West Mifflin",Pennsylvania,"United States",15122
8,Liseberg,Gothenburg,"Västra Götalands",Sweden,"402 22"
9,Carowinds,Charlotte,"North Carolina","United States",28273
10,Dollywood,"Pigeon Forge",Tennessee,"United States",37863
11,"Six Flags Great America",Gurnee,Illinois,"United States",60031
12,"Busch Gardens Tampa",Tampa,Florida,"United States",33612
13,"Six Flags New England",Agawam,Massachusetts,"United States",01001
14,"Six Flags St. Louis",Eureka,Missouri,"United States",63025
15,"Canada's Wonderland",Vaughan,Ontario,Canada,"L6A 1S6"
16,"Six Flags Over Georgia",Austell,Georgia,"United States",30168
17,Europa-Park,Rust,Baden-Württemberg,Germany,77977
18,"Bay Beach Amusement Park","Green Bay",Wisconsin,"United States",54302
19,"Timber Falls","Wisconsin Dells",Wisconsin,"United States",53965
20,"Kings Dominion",Doswell,Virginia,"United States",23047
21,"Indiana Beach",Monticello,Indiana,"United States",47960
22,"Six Flags Magic Mountain",Valencia,California,"United States",91355
23,"Silver Dollar City",Branson,Missouri,"United States",65616
24,Hersheypark,Hershey,Pennsylvania,"United States",17033
25,"Six Flags Over Texas",Arlington,Texas,"United States",76011
26,"Lake Compounce",Bristol,Connecticut,"United States",06010
27,Waldameer,Erie,Pennsylvania,"United States",16505
28,"Holiday Park",Hassloch,Rhineland-Palatinate,Germany,67454
29,Phantasialand,Brühl,"North Rhine-Westphalia",Germany,50321
30,"Kentucky Kingdom",Louisville,Kentucky,"United States",40209
31,"Michigan's Adventure",Muskegon,Michigan,"United States",49445
32,"Alton Towers",Stoke-on-Trent,England,"United Kingdom","ST10 4DB"
33,"California's Great America","Santa Clara",California,"United States",95054
34,"Blackpool Pleasure Beach",Blackpool,England,"United Kingdom","FY4 1EZ"
35,Kolmården,Kolmården,Östergötlands,Sweden,"618 92"
36,"Santa Cruz Beach Boardwalk","Santa Cruz",California,"United States",95060
37,"Six Flags Great Escape",Queensbury,"New York","United States",12804
