County,State,Population_July_1st_2021
Autauga County,Alabama,"59,095"
Baldwin County,Alabama,"239,294"
Barbour County,Alabama,"24,964"
Bibb County,Alabama,"22,477"
Blount County,Alabama,"59,041"
Bullock County,Alabama,"10,320"
Butler County,Alabama,"18,884"
Calhoun County,Alabama,"115,972"
Chambers County,Alabama,"34,541"
Cherokee County,Alabama,"24,996"
Chilton County,Alabama,"45,274"
Choctaw County,Alabama,"12,533"
Clarke County,Alabama,"22,760"
Clay County,Alabama,"14,190"
Cleburne County,Alabama,"15,103"
Coffee County,Alabama,"54,174"
Colbert County,Alabama,"57,474"
Conecuh County,Alabama,"11,328"
Coosa County,Alabama,"10,450"
Covington County,Alabama,"37,524"
Crenshaw County,Alabama,"13,083"
Cullman County,Alabama,"89,496"
Dale County,Alabama,"49,342"
Dallas County,Alabama,"37,619"
DeKalb County,Alabama,"71,813"
Elmore County,Alabama,"89,304"
Escambia County,Alabama,"36,699"
Etowah County,Alabama,"103,162"
Fayette County,Alabama,"16,148"
Franklin County,Alabama,"32,013"
Geneva County,Alabama,"26,701"
Greene County,Alabama,"7,629"
Hale County,Alabama,"14,754"
Henry County,Alabama,"17,459"
Houston County,Alabama,"107,458"
Jackson County,Alabama,"52,773"
Jefferson County,Alabama,"667,820"
Lamar County,Alabama,"13,689"
Lauderdale County,Alabama,"94,043"
Lawrence County,Alabama,"33,090"
Lee County,Alabama,"177,218"
Limestone County,Alabama,"107,517"
Lowndes County,Alabama,"9,965"
Macon County,Alabama,"18,895"
Madison County,Alabama,"395,211"
Marengo County,Alabama,"18,996"
Marion County,Alabama,"29,246"
Marshall County,Alabama,"98,228"
Mobile County,Alabama,"413,073"
Monroe County,Alabama,"19,648"
Montgomery County,Alabama,"227,434"
Morgan County,Alabama,"123,668"
Perry County,Alabama,"8,355"
Pickens County,Alabama,"18,801"
Pike County,Alabama,"32,991"
Randolph County,Alabama,"21,989"
Russell County,Alabama,"58,722"
St. Clair County,Alabama,"92,748"
Shelby County,Alabama,"226,902"
Sumter County,Alabama,"12,164"
Talladega County,Alabama,"81,524"
Tallapoosa County,Alabama,"41,023"
Tuscaloosa County,Alabama,"227,007"
Walker County,Alabama,"64,818"
Washington County,Alabama,"15,147"
Wilcox County,Alabama,"10,446"
Winston County,Alabama,"23,652"
Aleutians East Borough,Alaska,"3,398"
Aleutians West Census Area,Alaska,"5,059"
Anchorage Municipality,Alaska,"288,121"
Bethel Census Area,Alaska,"18,557"
Bristol Bay Borough,Alaska,838
Chugach Census Area,Alaska,"6,941"
Copper River Census Area,Alaska,"2,630"
Denali Borough,Alaska,"1,593"
Dillingham Census Area,Alaska,"4,772"
Fairbanks North Star Borough,Alaska,"95,593"
Haines Borough,Alaska,"2,071"
Hoonah-Angoon Census Area,Alaska,"2,332"
Juneau City and Borough,Alaska,"31,973"
Kenai Peninsula Borough,Alaska,"59,767"
Ketchikan Gateway Borough,Alaska,"13,754"
Kodiak Island Borough,Alaska,"12,787"
Kusilvak Census Area,Alaska,"8,360"
Lake and Peninsula Borough,Alaska,"1,416"
Matanuska-Susitna Borough,Alaska,"110,686"
Nome Census Area,Alaska,"9,865"
North Slope Borough,Alaska,"10,972"
Northwest Arctic Borough,Alaska,"7,560"
Petersburg Borough,Alaska,"3,356"
Prince of Wales-Hyder Census Area,Alaska,"5,729"
Sitka City and Borough,Alaska,"8,407"
Skagway Municipality,Alaska,"1,132"
Southeast Fairbanks Census Area,Alaska,"6,970"
Wrangell City and Borough,Alaska,"2,055"
Yakutat City and Borough,Alaska,704
Yukon-Koyukuk Census Area,Alaska,"5,275"
Apache County,Arizona,"65,623"
Cochise County,Arizona,"126,050"
Coconino County,Arizona,"145,052"
Gila County,Arizona,"53,589"
Graham County,Arizona,"39,050"
Greenlee County,Arizona,"9,404"
La Paz County,Arizona,"16,408"
Maricopa County,Arizona,"4,496,588"
Mohave County,Arizona,"217,692"
Navajo County,Arizona,"108,147"
Pima County,Arizona,"1,052,030"
Pinal County,Arizona,"449,557"
Santa Cruz County,Arizona,"47,883"
Yavapai County,Arizona,"242,253"
Yuma County,Arizona,"206,990"
Arkansas County,Arkansas,"16,722"
Ashley County,Arkansas,"18,674"
Baxter County,Arkansas,"42,144"
Benton County,Arkansas,"293,692"
Boone County,Arkansas,"37,830"
Bradley County,Arkansas,"10,408"
Calhoun County,Arkansas,"4,741"
Carroll County,Arkansas,"28,435"
Chicot County,Arkansas,"10,019"
Clark County,Arkansas,"21,321"
Clay County,Arkansas,"14,350"
Cleburne County,Arkansas,"25,015"
Cleveland County,Arkansas,"7,514"
Columbia County,Arkansas,"22,672"
Conway County,Arkansas,"20,873"
Craighead County,Arkansas,"112,218"
Crawford County,Arkansas,"60,378"
Crittenden County,Arkansas,"47,525"
Cross County,Arkansas,"16,681"
Dallas County,Arkansas,"6,308"
Desha County,Arkansas,"11,090"
Drew County,Arkansas,"17,110"
Faulkner County,Arkansas,"125,106"
Franklin County,Arkansas,"17,173"
Fulton County,Arkansas,"12,145"
Garland County,Arkansas,"100,330"
Grant County,Arkansas,"18,090"
Greene County,Arkansas,"46,317"
Hempstead County,Arkansas,"19,694"
Hot Spring County,Arkansas,"33,148"
Howard County,Arkansas,"12,698"
Independence County,Arkansas,"37,723"
Izard County,Arkansas,"13,911"
Jackson County,Arkansas,"16,811"
Jefferson County,Arkansas,"65,861"
Johnson County,Arkansas,"25,845"
Lafayette County,Arkansas,"6,163"
Lawrence County,Arkansas,"16,292"
Lee County,Arkansas,"8,619"
Lincoln County,Arkansas,"13,037"
Little River County,Arkansas,"11,944"
Logan County,Arkansas,"21,215"
Lonoke County,Arkansas,"74,722"
Madison County,Arkansas,"16,960"
Marion County,Arkansas,"16,978"
Miller County,Arkansas,"42,649"
Mississippi County,Arkansas,"39,661"
Monroe County,Arkansas,"6,683"
Montgomery County,Arkansas,"8,611"
Nevada County,Arkansas,"8,187"
