coaster_name,status,speed,height,length,num_inversions,material_type,manufacturer,seating_type,park_name,city,state,country,zip_code
Afterburn,status.operating,100.0,34.0,900.0,6.0,Steel,B&M,Inverted,Carowinds,Charlotte,North Carolina,United States,28273
Alpengeist,status.operating,108.0,60.0,,6.0,Steel,B&M,Inverted,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,23185
American Thunder,status.operating,77.0,25.0,827.0,0.0,Wooden,GCI,Sit Down,Six Flags St. Louis,Eureka,Missouri,United States,63025
Apocalypse,status.closed.temporarily,89.0,31.0,869.0,0.0,Wooden,GCI,Sit Down,Six Flags Magic Mountain,Valencia,California,United States,91355
Apollo's Chariot,status.operating,118.0,52.0,1488.0,0.0,Steel,B&M,Sit Down,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,23185
Aska,status.closed.definitely,80.0,30.0,1081.0,0.0,Wooden,Intamin,Sit Down,Nara Dreamland,,,,
Avalanche,status.closed.definitely,,27.0,725.0,0.0,Wooden,S&S,Sit Down,Timber Falls,Wisconsin Dells,Wisconsin,United States,53965
Balder,status.operating,90.0,36.0,1070.0,0.0,Wooden,Intamin,Sit Down,Liseberg,Gothenburg,Västra Götalands,Sweden,402 22
Banshee,status.operating,110.0,51.0,1260.0,7.0,Steel,B&M,Inverted,Kings Island,Mason,Ohio,United States,45040
Beast,status.operating,104.0,34.0,2243.0,0.0,Wooden,Charlie Dinn,Sit Down,Kings Island,Mason,Ohio,United States,45040
Behemoth,status.operating,124.0,70.0,1621.0,0.0,Steel,B&M,Sit Down,Canada's Wonderland,Vaughan,Ontario,Canada,L6A 1S6
Big Dipper,status.operating,,18.0,1006.0,0.0,Wooden,William Strickler,Sit Down,Blackpool Pleasure Beach,Blackpool,England,United Kingdom,FY4 1EZ
Big Dipper,status.operating,,5.0,,0.0,Steel,Chance Rides,Sit Down,Michigan's Adventure,Muskegon,Michigan,United States,49445
Big Dipper,status.closed.definitely,52.0,20.0,817.0,0.0,Wooden,John Miller,Sit Down,Geauga Lake,,,,
Big Dipper,status.operating,,,,0.0,Steel,National Amusement Devices,Sit Down,Camden Park,,,,
Bizarro,status.operating,98.0,43.0,1214.0,7.0,Steel,B&M,Floorless,Six Flags Great Adventure,Jackson,New Jersey,United States,08527
Bizarro,status.operating,124.0,63.0,1646.0,0.0,Steel,Intamin,Sit Down,Six Flags New England,Agawam,Massachusetts,United States,01001
Black Mamba,status.operating,80.0,26.0,,4.0,Steel,B&M,Inverted,Phantasialand,Brühl,North Rhine-Westphalia,Germany,50321
