coaster_name,material_type_x,seating_type,speed,height,length,num_inversions,manufacturer,park_name_x,status,rank,year_ranked,material_type_y,park_name_y,supplier,year_built
Afterburn,Steel,Inverted,100.0,34.0,900.0,6.0,B&M,Carowinds,status.operating,35,2013,Steel,Carowinds,B & M,1999
Afterburn,Steel,Inverted,100.0,34.0,900.0,6.0,B&M,Carowinds,status.operating,45,2012,Steel,Carowinds,B & M,1999
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,36,2022,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,36,2022,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,21,2021,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,32,2019,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,32,2018,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,36,2017,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,30,2016,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,26,2015,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,23,'14,Steel,Busch Gardens Williamsburg,B&M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,25,2013,Steel,Busch Gardens Williamsburg,B & M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,24,2012,Steel,Busch Gardens Williamsburg,B & M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,27,2011,Steel,Busch Gardens Williamsburg,B & M,1997
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating,23,2010,Steel,Busch Gardens Williamsburg,B & M,1997
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,8,2022,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,11,2021,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,8,2019,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,6,2018,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,11,2017,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,6,2016,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,6,2015,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,7,'14,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,5,2013,Steel,Busch Gardens Williamsburg,B & M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,4,2012,Steel,Busch Gardens Williamsburg,B & M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,7,2011,Steel,Busch Gardens Williamsburg,B&M,1999
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating,4,2010,Steel,Busch Gardens Williamsburg,B & M,1999
Banshee,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,Kings Island,status.operating,37,2022,Steel,Kings Island,B&M,2014
Banshee,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,Kings Island,status.operating,37,2021,Steel,Kings Island,B&M,2014
Banshee,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,Kings Island,status.operating,33,2019,Steel,Kings Island,B&M,2014
Banshee,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,Kings Island,status.operating,29,2018,Steel,Kings Island,B&M,2014
Banshee,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,Kings Island,status.operating,22,2017,Steel,Kings Island,B&M,2014
Banshee,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,Kings Island,status.operating,13,2016,Steel,Kings Island,B&M,2014
Banshee,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,Kings Island,status.operating,20,2015,Steel,Kings Island,B&M,2014
Banshee,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,Kings Island,status.operating,16,'14,Steel,Kings Island,B&M,'14
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,34,2022,Steel,Canada's Wonderland,B&M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,38,2021,Steel,Canada's Wonderland,B&M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,29,2019,Steel,Canada's Wonderland,B&M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,27,2018,Steel,Canada's Wonderland,B&M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,28,2017,Steel,Canada's Wonderland,B&M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,24,2016,Steel,Canada's Wonderland,B&M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,18,2015,Steel,Canada's Wonderland,B&M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,15,'14,Steel,Canada's Wonderland,B&M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,17,2013,Steel,Canada's Wonderland,B & M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,17,2012,Steel,Canada's Wonderland,B & M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,15,2011,Steel,Canada's Wonderland,B & M,2008
Behemoth,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,Canada's Wonderland,status.operating,13,2010,Steel,Canada's Wonderland,B & M,2008
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating,48,2016,Steel,Six Flags Great Adventure,B&M,1999
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating,2,2015,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating,44,2015,Steel,Six Flags Great Adventure,B&M,1999
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating,2,'14,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating,2,2013,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating,2,2012,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating,2,2011,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating,2,2010,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,Six Flags New England,status.operating,48,2016,Steel,Six Flags Great Adventure,B&M,1999
Bizarro,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,Six Flags New England,status.operating,2,2015,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,Six Flags New England,status.operating,44,2015,Steel,Six Flags Great Adventure,B&M,1999
Bizarro,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,Six Flags New England,status.operating,2,'14,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,Six Flags New England,status.operating,2,2013,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,Six Flags New England,status.operating,2,2012,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,Six Flags New England,status.operating,2,2011,Steel,Six Flags New England,Intamin,2000
Bizarro,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,Six Flags New England,status.operating,2,2010,Steel,Six Flags New England,Intamin,2000
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,44,2022,Steel,Phantasialand,B&M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,42,2021,Steel,Phantasialand,B&M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,43,2019,Steel,Phantasialand,B&M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,34,2018,Steel,Phantasialand,B&M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,35,2017,Steel,Phantasialand,B&M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,25,2016,Steel,Phantasialand,B&M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,29,2015,Steel,Phantasialand,B&M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,24,'14,Steel,Phantasialand,B&M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,34,2013,Steel,Phantasialand,B & M,2006
Black Mamba,Steel,Inverted,80.0,26.0,,4.0,B&M,Phantasialand,status.operating,49,2012,Steel,Phantasialand,B & M,2006
Blue Fire,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,23,2019,Steel,Europa-Park,Mack,2009
Blue Fire,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,19,2018,Steel,Europa-Park,Mack,2009
Blue Fire,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,18,2017,Steel,Europa-Park,Mack,2006
Blue Fire,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,14,2016,Steel,Europa-Park,Mack,2006
Blue Fire,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,21,2013,Steel,Europa-Park,Mack,2009
Blue Fire,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,32,2012,Steel,Europa-Park,Mack,2009
Blue Fire,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,34,2011,Steel,Europa-Park,Mack,2009
Blue Fire Megacoaster,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,33,2022,Steel,Europa-Park,Mack,2009
Blue Fire Megacoaster,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,30,2021,Steel,Europa-Park,Mack,2009
Blue Fire Megacoaster,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,17,2015,Steel,Europa-Park,Mack,2009
Blue Fire Megacoaster,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,Europa-Park,status.operating,17,'14,Steel,Europa-Park,Mack,2009
Candymonium,Steel,Sit Down,122.0,64.0,1413.0,0.0,B&M,Hersheypark,status.operating,19,2022,Steel,Hersheypark,B&M,2020
Candymonium,Steel,Sit Down,122.0,64.0,1413.0,0.0,B&M,Hersheypark,status.operating,5,2021,Steel,Hersheypark,B&M,2020
Cannibal,Steel,Sit Down,113.0,64.0,835.0,4.0,ART Engineering,Lagoon,status.operating,48,2021,Steel,Lagoon,ART Engineering,2015
Cannibal,Steel,Sit Down,113.0,64.0,835.0,4.0,ART Engineering,Lagoon,status.operating,41,2019,Steel,Lagoon,In-house/ART Eng.,2015
Cannibal,Steel,Sit Down,113.0,64.0,835.0,4.0,ART Engineering,Lagoon,status.operating,44,2018,Steel,Lagoon,Lagoon,2015
Cannibal,Steel,Sit Down,113.0,64.0,835.0,4.0,ART Engineering,Lagoon,status.operating,32,2017,Steel,Lagoon,Lagoon,2015
Cannibal,Steel,Sit Down,113.0,64.0,835.0,4.0,ART Engineering,Lagoon,status.operating,42,2016,Steel,Lagoon,Lagoon,2015
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,17,2022,Steel,Kings Island,B&M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,19,2021,Steel,Kings Island,B&M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,14,2019,Steel,Kings Island,B&M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,10,2018,Steel,Kings Island,B&M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,8,2017,Steel,Kings Island,B&M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,9,2016,Steel,Kings Island,B&M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,11,2015,Steel,Kings Island,B&M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,4,'14,Steel,Kings Island,B&M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,14,2013,Steel,Kings Island,B & M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,10,2012,Steel,Kings Island,B & M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,11,2011,Steel,Kings Island,B & M,2009
Diamondback,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,Kings Island,status.operating,7,2010,Steel,Kings Island,B & M,2009
Dominator,Steel,Floorless,105.0,48.0,1283.0,5.0,B&M,Kings Dominion,status.operating,47,2013,Steel,Kings Dominion,B & M,2008
Dominator,Steel,Floorless,105.0,48.0,1283.0,5.0,B&M,Geauga Lake,status.closed.definitely,47,2013,Steel,Kings Dominion,B & M,2008
Dragon Challenge,Steel,Inverted,97.0,38.0,975.0,5.0,B&M,Universal's Islands of Adventure,status.closed.definitely,35,2012,Steel,Universal's Islands of Adventure,B & M,1999
Dragon Challenge,Steel,Inverted,97.0,38.0,975.0,5.0,B&M,Universal's Islands of Adventure,status.closed.definitely,28,2011,Steel,Universal's Islands of Adventure,B & M,1999
Dragon Challenge,Steel,Inverted,97.0,38.0,975.0,5.0,B&M,Universal's Islands of Adventure,status.closed.definitely,31,2010,Steel,Universal's Islands of Adventure,B & M,1999
Dragon Challenge,Steel,Sit Down,,,,0.0,Pinfari,Barry Island Pleasure Park,status.operating,35,2012,Steel,Universal's Islands of Adventure,B & M,1999
Dragon Challenge,Steel,Sit Down,,,,0.0,Pinfari,Barry Island Pleasure Park,status.operating,28,2011,Steel,Universal's Islands of Adventure,B & M,1999
Dragon Challenge,Steel,Sit Down,,,,0.0,Pinfari,Barry Island Pleasure Park,status.operating,31,2010,Steel,Universal's Islands of Adventure,B & M,1999
Euro-Mir,Steel,Spinning,80.0,28.0,980.0,0.0,Mack,Europa-Park,status.operating,45,2017,Steel,Europa-Park,Mack,1997
Euro-Mir,Steel,Spinning,80.0,28.0,980.0,0.0,Mack,Europa-Park,status.operating,40,2016,Steel,Europa-Park,Mack,1997
Euro-Mir,Steel,Spinning,80.0,28.0,980.0,0.0,Mack,Europa-Park,status.operating,42,'14,Steel,Europa-Park,Mack,1997
Euro-Mir,Steel,Spinning,80.0,28.0,980.0,0.0,Mack,Europa-Park,status.operating,50,2012,Steel,Europa-Park,Mack,1997
Euro-Mir,Steel,Spinning,80.0,28.0,980.0,0.0,Mack,Europa-Park,status.operating,45,2010,Steel,Europa-Park,Mack,1997
Expedition Everest,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,Disney's Animal Kingdom,status.operating,46,2018,Steel,Disney's Animal Kingdom,Vekoma,2006
Expedition Everest,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,Disney's Animal Kingdom,status.operating,49,2017,Steel,Disney's Animal Kingdom,Vekoma,2006
Expedition Everest,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,Disney's Animal Kingdom,status.operating,49,2016,Steel,Disney's Animal Kingdom,Vekoma,2006
Expedition Everest,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,Disney's Animal Kingdom,status.operating,47,2015,Steel,Disney's Animal Kingdom,Vekoma,2006
Expedition Everest,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,Disney's Animal Kingdom,status.operating,42,2013,Steel,Disney's Animal Kingdom,Vekoma/WED Imagineering,2006
Expedition Everest,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,Disney's Animal Kingdom,status.operating,47,2011,Steel,Disney's Animal Kingdom,Vekoma/WED Imag.,2006
Expedition Everest,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,Disney's Animal Kingdom,status.operating,36,2010,Steel,Disney's Animal Kingdom,Vekoma/WED Imag.,2006
Expedition GeForce,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,Holiday Park,status.operating,6,2022,Steel,Holiday Park,Intamin,2001
Expedition GeForce,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,Holiday Park,status.operating,6,2021,Steel,Holiday Park,Intamin,2001
Expedition GeForce,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,Holiday Park,status.operating,5,2019,Steel,Holiday Park,Intamin,2001
Expedition GeForce,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,Holiday Park,status.operating,4,2018,Steel,Holiday Park,Intamin,2001
Expedition GeForce,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,Holiday Park,status.operating,5,2017,Steel,Holiday Park,Intamin,2001
Expedition GeForce,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,Holiday Park,status.operating,4,2016,Steel,Holiday Park,Intamin,2001
Expedition GeForce,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,Holiday Park,status.operating,3,2015,Steel,Holiday Park,Intamin,2001
