rank,year_ranked,material_type,coaster_name,park_name,supplier,year_built,status,speed,height,length,num_inversions,manufacturer,seating_type,city,state,country,zip_code
1,2022,Wooden,Phoenix,Knoebels Amusement Resort,Dinn-PTC/Shmeck,1985,status.operating,72.0,24.0,975.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
2,2022,Wooden,Voyage,Holiday World,The Gravity Group,2006,status.operating,108.0,49.0,1963.0,0.0,Gravity Group,Sit Down,Santa Claus,Indiana,United States,47579
3,2022,Wooden,El Toro,Six Flags Great Adventure,Intamin,2006,status.operating,113.0,55.0,1341.0,0.0,Intamin,Sit Down,Jackson,New Jersey,United States,08527
4,2022,Wooden,Boulder Dash,Lake Compounce,Custom Coasters Int.,2000,status.operating,97.0,35.0,1440.0,0.0,CCI,Sit Down,Bristol,Connecticut,United States,06010
5,2022,Wooden,Beast,Kings Island,KECO,1979,status.operating,104.0,34.0,2243.0,0.0,Charlie Dinn,Sit Down,Mason,Ohio,United States,45040
6,2022,Wooden,Mystic Timbers,Kings Island,Great Coasters Int.,2017,status.operating,85.0,33.0,995.0,0.0,GCI,Sit Down,Mason,Ohio,United States,45040
7,2022,Wooden,Ravine Flyer II,Waldameer,The Gravity Group,2008,,,,,,,,,,,
8,2022,Wooden,GhostRider,Knott's Berry Farm,Custom Coasters/GCII,1998,status.operating,90.0,36.0,1382.0,0.0,GCI,Sit Down,Buena Park,California,United States,90620
9,2022,Wooden,Outlaw Run,Silver Dollar City,Rocky Mountain Const.,2013,status.operating,110.0,50.0,,2.0,RMC,Sit Down,Branson,Missouri,United States,65616
10,2022,Wooden,Thunderhead,Dollywood,Great Coasters Int.,2004,status.operating,89.0,31.0,985.0,0.0,GCI,Sit Down,Pigeon Forge,Tennessee,United States,37863
11,2022,Wooden,Gold Striker,California's Great America,Great Coasters Int.,2013,status.operating,87.0,33.0,975.0,0.0,GCI,Sit Down,Santa Clara,California,United States,95054
12,2022,Wooden,Jack Rabbit,Kennywood,Miller,1920,,,,,,,,,,,
13,2022,Wooden,Wodan,Europa-Park,Great Coasters Int.,2012,status.operating,100.0,35.0,1050.0,0.0,GCI,Sit Down,Rust,Baden-Württemberg,Germany,77977
14,2022,Wooden,Lightning Racer,Hersheypark,Great Coasters Int.,2000,status.operating,82.0,27.0,1036.0,0.0,GCI,Sit Down,Hershey,Pennsylvania,United States,17033
15,2022,Wooden,Wildfire,Kolmården,Rocky Mountain Const.,2016,status.operating,113.0,57.0,1300.0,3.0,RMC,Sit Down,Kolmården,Östergötlands,Sweden,618 92
16,2022,Wooden,Troy,Toverland,Great Coasters Int.,2007,status.operating,87.0,32.0,1077.0,0.0,GCI,Sit Down,Sevenum,Limburg,Netherlands,5975
17,2022,Wooden,Cyclone,Coney Island,Baker/Keenan,1927,status.operating,97.0,26.0,869.0,0.0,na,Sit Down,Brooklyn,New York,United States,11224
18,2022,Wooden,Balder,Liseberg,Intamin,2003,status.operating,90.0,36.0,1070.0,0.0,Intamin,Sit Down,Gothenburg,Västra Götalands,Sweden,402 22
19,2022,Wooden,Shivering Timbers,Michigan's Adventure,Custom Coasters Int.,1998,,,,,,,,,,,
20,2022,Wooden,Thunderbolt,Kennywood,Vettel/Miller,1968,,,,,,,,,,,
21,2022,Wooden,Boardwalk Bullet,Kemah Boardwalk,The Gravity Group/M&V,2007,status.operating,82.0,29.0,986.0,0.0,Gravity Group,Sit Down,Kemah,Texas,United States,77565
22,2022,Wooden,Legend,Holiday World,Custom Coasters Int.,2000,status.operating,93.0,35.0,1232.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
23,2022,Wooden,Comet,Six Flags Great Escape,PTC/Schmeck,1994,status.operating,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Queensbury,New York,United States,12804
24,2022,Wooden,Raven,Holiday World,Custom Coasters Int.,1995,status.operating,77.0,33.0,832.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
25,2022,Wooden,Colossos,Heide Park,Intamin,2001,status.operating,110.0,51.0,1500.0,0.0,Intamin,Sit Down,Soltau,Lower Saxony,Germany,29614
26,2022,Wooden,Goliath,Six Flags Great America,Rocky Mountain Const.,2014,status.operating,115.0,55.0,950.0,2.0,RMC,Sit Down,Gurnee,Illinois,United States,60031
27,2022,Wooden,Texas Stingray,SeaWorld San Antonio,Great Coasters Int.,2020,status.operating,55.0,30.48,1029.9,0.0,GCI,Sit Down,San Antonio,Texas,United States,78251
28,2022,Wooden,Flying Turns,Knoebels Amusement Resort,Fetterman,2014,status.operating,39.0,15.0,396.0,0.0,Knoebels,Bobsleigh,Elysburg,Pennsylvania,United States,17824
29,2022,Wooden,Playland Wooden Coaster,PNE Playland,Phare,1958,status.operating,75.0,20.0,865.0,0.0,na,Sit Down,Vancouver,British Columbia,Canada,V5K 5J1
30,2022,Wooden,Prowler,Worlds of Fun,Great Coasters Int.,2009,status.operating,82.0,31.0,937.0,0.0,GCI,Sit Down,Kansas City,Missouri,United States,64161
31,2022,Wooden,Giant Dipper,Santa Cruz Beach Boardwalk,Prior & Church/Looff,1924,,,,,,,,,,,
31,2022,Wooden,Twister,Knoebels Amusement Resort,Fetterman,1999,status.operating,83.0,31.0,1189.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
33,2022,Wooden,Cú Chulainn,Tayto Park,The Gravity Group,2015,status.operating,90.0,32.0,1094.0,0.0,Gravity Group,Sit Down,Ashbourne,Meath,Ireland,A84 EA02
33,2022,Wooden,Racer,Kennywood,Miller,1927,status.operating,,22.0,686.0,0.0,John Miller,Sit Down,West Mifflin,Pennsylvania,United States,15122
33,2022,Wooden,Renegade,Valleyfair,Great Coasters Int.,2007,status.operating,,32.0,950.0,0.0,GCI,Sit Down,Shakopee,Minnesota,United States,55379
36,2022,Wooden,Rampage,Alabama Splash Adventure,Custom Coasters Int.,1998,status.operating,90.0,37.0,1067.0,0.0,CCI,Sit Down,Bessemer,Alabama,United States,35022
37,2022,Wooden,White Lightning,Fun Spot America,Great Coasters Int.,2013,status.operating,75.0,23.0,600.0,0.0,GCI,Sit Down,Orlando,Florida,United States,32819
38,2022,Wooden,Screamin' Eagle,Six Flags St. Louis,PTC/Allen,1976,status.operating,100.0,34.0,1180.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Eureka,Missouri,United States,63025
39,2022,Wooden,T Express,Everland,Intamin,2008,status.operating,104.0,56.0,1641.0,0.0,Intamin,Sit Down,Seoul,Seoul,South Korea,17023
